अध्यायः,वक्ता,विषयः,श्लोकः,Page,Ketu,Matter,#,Match?,External,
विषयविभागः,बल्लाळसेनः,,भूकम्बजलाशययोर्वह्नेर्दीपसुरशक्रकेतूनाम्। क्षितिरूहलताफलकुसुमशस्यान्नव्यञ्जनादीनाम्॥,5,,,,,,
विषयविभागः,बल्लाळसेनः,,गेहोपस्करवस्त्रोपानच्छयनासनास्त्रनगराणाम्। दिव्यस्त्रीनरदर्शनमानुषपिटकोदयादीनाम्॥,5,,,,,,
विषयविभागः,बल्लाळसेनः,,स्वप्नैकरिष्टदन्तप्राणिप्रसवादिसकलशकुनानाम्। नानामृगविहगादेर्गजस्य तुरगस्य वृषभस्य॥,5,,,,,,
विषयविभागः,बल्लाळसेनः,,मूषिकशत्रोः सरमासमुद्भवानां शृगालस्य । पल्ल्याः पिपीलिकायाः कञ्जनकस्याथपोतक्यताः॥,5,,,,,,
विषयविभागः,बल्लाळसेनः,,एवं मेचवपेचकध्वाङ्क्षाणां चाद्भुतानि सहशान्त्या भौमाश्रयमभिवक्ता त्र्यधिकैः षट्त्रिंशदावर्तैः ॥,5,,,,,,
विषयविभागः,बल्लाळसेनः,,अथ दिव्यदिव्यनाभसनाभसभमान्तरिक्षभौमाख्यान् दिव्यान्तरिक्षभौमाभिधानसौमिश्रकोत्पातान्॥ आवृर्तैरभिघातामिश्रकमध्याश्रयं षड्भिः॥,5,,,,,,
ग्रन्थारम्भसमयः,बल्लाळसेनः,अथ ग्रन्थारम्भसमयः,शाकेऽभ्रनवखेन्द्वा १०१० ख्य आरेभेऽद्भुतसागरम्। गौडेन्द्रकुञ्जरालानस्तम्भबाहुर्महीपतिः॥,6,,,,,,
ग्रन्थारम्भसमयः,लक्ष्मणसेनः,,ग्रन्थेऽस्मिन्नसमाप्त एव तनये  साम्राज्यलक्ष्मीं मुदा  दीक्षापर्वणि दल्शिणे निजकृतेर्निष्पत्तिमस्थापयत् |,7,,,,,,
ग्रन्थारम्भसमयः,लक्ष्मणसेनः,,नानादानतिलाम्बुसंवलनभं  सूर्यात्मजासङ्गमं गङ्गायां विरचय्य निर्जरपुरं भार्यानुयातो गत: ||,7,,,,,,
ग्रन्थारम्भसमयः,लक्ष्मणसेनः,,श्रीमल्लक्ष्मणसेनभूपतिरातिश्लाघ्यो यदुद्योगतो  निष्पन्नोऽद्भुतसागर: कृतिरसौ वल्लालभूमीव्हुज: | ,7,,,,,,
ग्रन्थारम्भसमयः,लक्ष्मणसेनः,,ख्यातः केवलमर्णवः सगरजस्तातस्य तत्पूरणप्रावीण्येन भगीरथेन भुवनेष्वद्यापि विद्योतते ॥,7,,,,,,
उपोद्घातः,बल्लाळसेनः,मङ्गलाचरणं,आवृत्तानागतातीतसूक्ष्मसाक्षात्प्रदर्शनम्। परं ज्योतिरिवानन्तं ज्यौतिषं तदुपास्महे॥,,,,,,,
उत्पातनिरूपणम्,वृद्धगर्गः,अद्भुतलक्षणं,अभूतपूर्वं यत् पूर्वं यत् पूर्वं जायतेऽन्यथा। तदद्भुतमिति प्रोक्तं नैमित्तं स्यान्निमित्तजम्॥,7,,,,Y,अभूतपूर्वं यत्पूर्वमपूर्वं जायते ऽद्भुतम् । तदद्भुतमिवं प्रोक्तां निमित्तात् स्यान्निमित्तजम् ॥3130। राष्ट्रोत्पातिकनिश्चयम्,
उत्पातनिरूपणम्,बार्हस्पत्ये,अद्भुतलक्षणं,प्राग्विनाशाय सम्प्रोक्तो योऽत्रोत्पात इति स्मृत: | उद्वेगकारि मर्त्यानां यदप्रीतिविवर्धनम् ॥ अहितत्वादनिष्टत्वाच्छब्दा: पर्यायवाचाका: |,8,,,,,,
उत्पातनिरूपणम्,पराशरः,उत्पातविवेकः,प्रकृतेर्भूतविकृतप्रादुर्भावाँश्चोत्पातमाचक्षते। तेषां द्यौरन्तरिक्षं भूरेताश्चाश्रयः पञ्चमहाभूतानि योनिः॥,8,,,,,,
उत्पातनिरूपणम्,गर्गः,उत्पातविवेकः,प्रकृतेरन्यथोत्पातः संक्षेपस्तावदीदृशः। त्रिविधः स तु वज्ञेयो दिवयनाभसभूमिजः॥,9,,,,,,
उत्पातनिरूपणम्,वटकणिका,,यः प्रकृतिविपर्यासः प्रायः संक्षेपतः स उत्पातः। क्षितिगगनदिव्यजातो यथोत्तरं गुरुतरो भवति॥,9,,,,,,
उत्पातनिरूपणम्,आथर्वणाद्भुतं,,प्रकृतिविरुद्धमपीदं प्राक्प्रबोधाय देवाः सृजन्ति इति। .. ॥,9,,,,,,
उत्पातोत्पत्तिलक्षणम्,मत्स्यविष्णुधर्मोत्तरयोः,,पुरुषापचारान्नियतमपरज्यन्ति देवताः। ततोऽपरागाद्देवानामुपसर्गः प्रवर्तते॥,9,,,,,,
उत्पातोत्पत्तिलक्षणम्,गर्गः,बार्हस्पत्ये च,अतिलोभादसत्याद्वा नास्तिक्याद्वाऽप्यधर्मत: | नरापचारान्नियतमुपसर्ग: प्रजायते॥,9,,,,,,
उत्पातोत्पत्तिलक्षणम्,गर्गः,बार्हस्पत्ये च,ततोऽपचारान्नियतमपरज्यन्ति देवता:|  ता: सृजन्त्यद्भुतान्  भावान्  दिव्यनाभसभूमिजान् ॥,9,,,,,,
उत्पातोत्पत्तिलक्षणम्,गर्गः,बार्हस्पत्ये च,ता एव त्रिविधा लोके उत्पाता देवनिर्मिताः। विचरन्ति विनाशाय रूपै: सम्बोधयन्ति च ॥,9,,,,,,
उत्पातोत्पत्तिलक्षणम्,गर्गः,बार्हस्पत्ये च,येषु शान्तिं प्रकुर्वन्ति न ते यान्ति पराभवम् | ये तु न प्रतिकुर्वन्ति क्रियया श्रद्धयाऽन्विता:||,9,,,,,,
उत्पातोत्पत्तिलक्षणम्,मत्स्यविष्णुधर्मोत्तरयोः,त्रिविदविवेकः,दिव्यान्तरिक्षं भौमं तु त्रिविधं परिकीर्त्तितम् | ग्रहर्क्षविक्रुतं दिव्यमान्तरिक्षं निबोध मे||,10,,,,,,
उत्पातोत्पत्तिलक्षणम्,मत्स्यविष्णुधर्मोत्तरयोः,त्रिविदविवेकः,उल्कापातो दिशां दाह: परिवेषस्तथैव च | गन्धर्वनगरं चैव वृष्टेश्च विकृतिस्तु या  ॥,10,,,,,,
उत्पातोत्पत्तिलक्षणम्,मत्स्यविष्णुधर्मोत्तरयोः,त्रिविदविवेकः,एवमादीनि लोकेऽस्मिन्नान्तरिक्षं विनिर्द्दिशेत् | चारस्थिरभवो भौमो भूकम्पश्चापि भूमिज:॥ जलाशयानां वैकृत्यं भौमं तदपि कीर्त्तितम् |,10,,,,,,
उत्पातोत्पत्तिलक्षणम्,गर्गः,"गार्गीय,बार्हस्पत्येषु च",स्वर्भानुकेतुनक्षत्रग्रहतारार्कचन्द्रजम् | दिवि चोत्पद्यते यच्च तद्दिव्यमिति कीर्तितम् ||,10,,,,,,
उत्पातोत्पत्तिलक्षणम्,गर्गः,"गार्गीय,बार्हस्पत्येषु च",वाय्वभ्रसन्ध्यादिग्दाहपरिवेषस्तमांसि च | खपुरं चेन्द्रचापं च तद्विद्यादन्तरिक्षजम् ||,10,,,,,,
उत्पातोत्पत्तिलक्षणम्,गर्गः,"गार्गीय,बार्हस्पत्येषु च",भूमावुत्पद्यते यच्च स्थावरे चाथ जङ्गमे | तदैकदेशिकं भौमं भूमिचालाम्बुविक्रिया ॥,10,,,,,,
केत्वद्भुतावर्तः,बल्लाळसेनः,,पौर्णिमायां तु यदृक्षं तस्मात् पञ्चदशे रविः। रवेर्द्वादशगं केतुः केतोः सप्तमगो(दशे) बुधः॥१,253,,,,,,"पूर्णिमा = , +१५ रविः, +१२ केतुः, +७ बुधः"
केत्वद्भुतावर्तः,बल्लाळसेनः,,बुधाद्द्वितीयगः शुक्रः शुक्रादष्टमगः कुजः। शनिः सुरगुरुः राहुर्ज्ञेयाः स्थिरा नव ॥२ (शास्त्राधिरस्थिनव),253,,,,,,",+२ शुक्रः,+८ कुजः"
केत्वद्भुतावर्तः,पराशरः,शुभसूचककेतुलक्षणं,स्निग्धः प्रसन्नो विमलः प्रदक्षिणगतिस्तथा (शिखस्तथा) । दृश्यते येषु देशेषु शिवं तेषां विनिर्दिशेत् ॥३,253,,,,,,
केत्वद्भुतावर्तः,वराहसंहिता,,ह्रस्वतनुः प्रसन्नः स्निग्धस्त्वृजुरचिरसंस्थितः शुक्लः। उदितो वाऽप्यभिवृष्टः सुभिक्षसौख्यावहः केतुः॥४,253,,Shubha,,,ह्रस्वस्तनुः प्रसन्नः स्निग्धस्त्वृजुरचिरसंस्थितः शुक्लः। उदितोऽथवाभिवृष्टः सुभिक्षसौख्यावहः केतुः॥8॥,
केत्वद्भुतावर्तः,समाससंहिता,,अचिरस्थितोऽभिवृष्टस्त्वृजुस्तनुः स्निग्धमूर्तिरुदगुतितः। ह्रस्वः स्मितः प्रसन्नः केतुर्लोकस्य भावाय॥५,253,,Shubha,,,,
केत्वद्भुतावर्तः,वराहसंहिता,अशुभसूचककेतुलक्षणं,उक्तविपरीतरूपो.. ॥६,254,,,,,उक्तविपरीतरूपो न शुभकरो धूमकेतुरुत्पन्नः। इन्द्रायुधानुकारी विशेषतो द्वित्रिचूलो वा॥9॥,
केत्वद्भुतावर्तः,हरिवंशः,बाणयुद्धनिमित्तं,दक्षिणां दिशमास्थाय धूमकेतुः स्थितोऽभवत्॥७,254,धूमकेतुः,,,,,
केत्वद्भुतावर्तः,काश्यपः,केतुस्वामिकानि,प्राकाराभ्युच्छ्रिताः शृङ्गिरिस्थाः विजिगीषवः। प्रत्यन्तवासनिरताः परच्छिद्रविशारदाः॥८,254,,,,,,
केत्वद्भुतावर्तः,काश्यपः,केतुस्वामिकानि,मूर्खा विज्ञानहीनाश्च निर्मर्यादा नरास्तथा । परदाररता नीचाः केतोरेतान् विनिर्दिशेत् ॥९,254,,,,,,
केत्वद्भुतावर्तः,काश्यपः,केतुस्वामिकानि,गिरिदुर्गपह्लवश्वेतहूणचोलावगाणमरुचीना:  प्रत्यन्तनिग्रहेच्छा  व्यवसायपराक्रमोपेता:॥१०,255,,,,,,
केत्वद्भुतावर्तः,काश्यपः,केतुस्वामिकानि,परदारविवादरता:पररन्ध्रकुतूहला मदोत्सिक्ता:| मूर्खाधार्मिकविजिगीषवश्च केतो: समाख्याता:||,255,,,,,,
केत्वद्भुतावर्तः,वटकणिका,,शिखिनो गिरिसंस्थितावगणा मरुभू: पह्लवचोलसुह्महूणा: । व्यवसायपराक्रमोपपन्ना:  परदारार्थरता मदोत्कटाश्च॥१२,255,,,,,,
केत्वद्भुतावर्तः,गार्गीये,वर्णफलं,सर्वेषामेव केतूनामष्टौ वर्णाः प्रकीर्तिताः। श्वेतो रक्तःस्तथा पीतः कृष्णश्चेति चतुष्टयम्॥१३,255,,Colours of ketus and effects,,,,
केत्वद्भुतावर्तः,गार्गीये,वर्णफलं,अर्चिषो धूमकेतूनामुदयेषूपलक्षयेत्। हरितो धूम्रवर्णश्च कपिलो वह्निसन्निभः। हन्ति वर्णास्तथा सर्वान् धूमकेतुश्चराचरान्॥१४,255,,"White, Red, Yellow, Dark grey, Green, Gray, Brown, Fire orange",,,,
केत्वद्भुतावर्तः,भार्गवीये,वर्णफलं,विप्रान् श्वेताकृतिर्हन्ति क्षत्रियान् हन्ति लोहितः। वैश्यान्स्तु पीतको हन्ति शूद्रान् हन्ति तथाऽसितः॥१५,255,,,,,,
केत्वद्भुतावर्तः,भार्गवीये,वर्णफलं,इतरान् पीडयेत् केतुरन्यवर्णो यदा भवेत्। षण्मासाभ्यन्तरे राज्ञो मरणं च तथा विशेत् ॥१६,256,,,,,,
केत्वद्भुतावर्तः,भार्गवीये,वर्णफलं,श्वेतः शस्त्राकुलं कुर्याल्लोहितस्त्वग्नितो भयम्। क्षुद्धयं पीतकःकुर्यात् कृष्णो रोगमथोल्बणम् ॥१७,256,,,,,,
केत्वद्भुतावर्तः,भार्गवीये,आकृतिफलं,वृक्षाकारो विनाशाय सुखाय मृशलाकृतिः। दीर्घसूक्ष्मः सुखायैव ह्रस्वः स्थूलो विनाशकृत्॥१८,256,,Shape of Ketus and effects,,,,
केत्वद्भुतावर्तः,भार्गवीये,केतूनामुदये पूर्वनिमित्तानि,उष्णं वा यदि वा शीतं  निर्घात: पांशुवृष्टय: | नीहारो भूमिकम्पश्च दिशां दाहस्तथैव च ॥१९,256,,,,,,
केत्वद्भुतावर्तः,भार्गवीये,केतूनामुदये पूर्वनिमित्तानि,उल्काया दर्शने केतो रूपं विन्द्यादनागतम् | अशुभस्य मयोक्तं ते शुभस्य च निबोध मे  ॥२०,256,,,,,,
केत्वद्भुतावर्तः,भार्गवीये,केतूनामुदये पूर्वनिमित्तानि,मृदुस्निग्धाः शुभा वाता  निर्मला: सकला दिश: | शान्ता मृगविहङ्गाश्च ग्रहा:स्फुटमरीचय:॥ कुवेरवायुवरुणसूर्याग्नियमपुत्रका:||२१,256,,,,,,
केत्वद्भुतावर्तः,भार्गवीये,षड्विधाः केतवो वसन्तादिषु षडृतुषूदयन्ते यदुक्तं,चैत्रवैशाखयोर्मध्ये  कौवेरांस्तु विनिर्दिशेत् | तेषां चैव तु कार्याणि लक्षणै: शृणु यादृशै:॥२२,257,,,,,,
केत्वद्भुतावर्तः,भार्गवीये,षड्विधाः केतवो वसन्तादिषु षडृतुषूदयन्ते यदुक्तं,उद्धृ तैर्यूपवेदीभिरुच्छ्रितैर्ध्वजतोरणै: | हविर्धूमाकुला तत्र दृश्यते च वसुन्धरा ॥२३,257,,,,,,
केत्वद्भुतावर्तः,भार्गवीये,षड्विधाः केतवो वसन्तादिषु षडृतुषूदयन्ते यदुक्तं,त्रिविष्टपं समापन्नस्तदा शक्रो महीपति: | एवं प्रजास्तु मन्यन्ते कुवेदो गृहमागत:॥२४,257,,,,,,
केत्वद्भुतावर्तः,भार्गवीये,षड्विधाः केतवो वसन्तादिषु षडृतुषूदयन्ते यदुक्तं,उदये कुवेरपुत्राणामेतद्भवति लक्षणम् | ज्येष्ठे चैव तथा ऽऽ षाढे वायुपुत्रान् विनिर्दिशेत् ॥२५,257,,,,,,
केत्वद्भुतावर्तः,भार्गवीये,षड्विधाः केतवो वसन्तादिषु षडृतुषूदयन्ते यदुक्तं,तेषामेव तु कर्माणि लक्षणै:शृणु  यादृशम् | वान्ति चैव महावाता महायुद्धं महाभयम् ॥२६,257,,,,,,
केत्वद्भुतावर्तः,भार्गवीये,षड्विधाः केतवो वसन्तादिषु षडृतुषूदयन्ते यदुक्तं,भज्यन्ते च महावृक्षास्तोरणाट्टालकानि  च | गृहाणि रमणीयानि क्षयं यान्ति जलानि च ॥२७,257,,,,,,
केत्वद्भुतावर्तः,भार्गवीये,षड्विधाः केतवो वसन्तादिषु षडृतुषूदयन्ते यदुक्तं,उदये वायुपुत्राणामेतद्भवति लक्षणम् । श्रावणप्रौष्ठपदयोर्वारुणांस्तु विनिर्दिशेत्॥२८,257,,,,,,
केत्वद्भुतावर्तः,भार्गवीये,षड्विधाः केतवो वसन्तादिषु षडृतुषूदयन्ते यदुक्तं,तेषां चैव तु कर्माणि लक्षणै: शृणु यादृशै: । आवाहयन्ति ते मेघान् पूर्णां कुर्याद्वसुन्धराम्॥२९,257,,,,,,
केत्वद्भुतावर्तः,भार्गवीये,षड्विधाः केतवो वसन्तादिषु षडृतुषूदयन्ते यदुक्तं,उन्मार्गा: सरितो यान्ति जलवेहसमाहता: । धान्यं समर्घतां याति ईतयो न भवन्ति हि॥३०,257,,,,,,
केत्वद्भुतावर्तः,भार्गवीये,षड्विधाः केतवो वसन्तादिषु षडृतुषूदयन्ते यदुक्तं,उदये वरुणानां तु एतद्भवति लक्षणम् । आश्विने कार्तिके चैव सूर्यपुत्रान् विनिर्दिशेत् ॥३१,257,,,,,,
केत्वद्भुतावर्तः,भार्गवीये,षड्विधाः केतवो वसन्तादिषु षडृतुषूदयन्ते यदुक्तं,तेषां चैव तु कर्माणि लक्षणै: शृणु यादृशै: । ततो दहति शीतांशु: सर्वान्नानि दिवाकर:॥३२,257,,,,,,
केत्वद्भुतावर्तः,भार्गवीये,षड्विधाः केतवो वसन्तादिषु षडृतुषूदयन्ते यदुक्तं,म्रियन्ते च तदा गाव: श्वापदाश्च विशेषत:। विषं च प्रबलं तत्र सर्वदंष्ट्रिषु दारुणम् ॥३३,257,,,,,,
केत्वद्भुतावर्तः,भार्गवीये,षड्विधाः केतवो वसन्तादिषु षडृतुषूदयन्ते यदुक्तं,उदये सूर्यपुत्राणामेतद्भवति लक्षणम्।मार्गशीर्षे च पौषे च वह्निपुत्रान् विनिर्दिशेत्॥३४,257,,,,,,
केत्वद्भुतावर्तः,भार्गवीये,षड्विधाः केतवो वसन्तादिषु षडृतुषूदयन्ते यदुक्तं,तेषां चैव तु कर्माणि लक्षणै: शृणु यादृशै: । अग्निर्दहति राष्ट्राणि हरितश्च वनानि च ॥३५,257,,,,,,
केत्वद्भुतावर्तः,भार्गवीये,षड्विधाः केतवो वसन्तादिषु षडृतुषूदयन्ते यदुक्तं,विद्रवन्ति ततो देशा: समन्ताद्भयपीडिता:। कस्मिँँश्चिज्जायते क्षेमं कस्मिँँश्चिज्जायते भयम् ॥३६,258,,,,,,
केत्वद्भुतावर्तः,भार्गवीये,षड्विधाः केतवो वसन्तादिषु षडृतुषूदयन्ते यदुक्तं,उदये वन्हिपुत्राणांमेतद्भवति लक्षणम् | मघफल्गुनयोर्मध्ये यमपुत्रान विनिर्दिशेत्  ॥३७,258,,,,,,
केत्वद्भुतावर्तः,भार्गवीये,षड्विधाः केतवो वसन्तादिषु षडृतुषूदयन्ते यदुक्तं,तेषां चैव तु कर्माणि लक्षणै: शृणु यादृशै:| शीघ्रं भवति दुर्भिक्षं  हाहाभूतमचेतनम्  ॥३८,258,,,,,,
केत्वद्भुतावर्तः,भार्गवीये,षड्विधाः केतवो वसन्तादिषु षडृतुषूदयन्ते यदुक्तं,छर्दिज्वरातिसाराश्च  ग्लानिश्चैवाक्षिवेदना | उदये यमपुत्राणामेतद्भवति लक्षणम् ॥३९,258,,,,,,
केत्वद्भुतावर्तः,देवलः,आग्नेयाद्या नवविधा अष्टोत्तरशतकेतवः। कृत्तिकादिषु त्रिषु नक्षत्रेषु स्थिता उदयन्ते इत्याह,कृत्तिका रोहिणी सौम्यं पृथिवीमध्यमुच्यते | केतवो ह्यत्र दृश्यन्ते आग्नेया दश पञ्च च ॥४०,259,,,,,,
केत्वद्भुतावर्तः,देवलः,आग्नेयाद्या नवविधा अष्टोत्तरशतकेतवः। कृत्तिकादिषु त्रिषु नक्षत्रेषु स्थिता उदयन्ते इत्याह,आग्नेयेषु च दृष्टेषु लोकानां च क्षयो ध्रुवम् | नित्योद्विग्नाश्च राजानो जनमारस्तदा भवेत् ॥४१,259,,,,,,
केत्वद्भुतावर्तः,देवलः,आग्नेयाद्या नवविधा अष्टोत्तरशतकेतवः। कृत्तिकादिषु त्रिषु नक्षत्रेषु स्थिता उदयन्ते इत्याह,रौद्रं पुनर्वसुः पुष्यः पृथिव्यां पूर्वमुच्यते | केतवो ह्यत्र दृश्यन्ते रौद्रास्तेऽप्येकविंशति:॥४२,259,,,,,,
केत्वद्भुतावर्तः,देवलः,आग्नेयाद्या नवविधा अष्टोत्तरशतकेतवः। कृत्तिकादिषु त्रिषु नक्षत्रेषु स्थिता उदयन्ते इत्याह,यदा रौद्रा: प्रदृश्यन्ते दुर्भिक्षं निर्दिशेत्तदा | घूर्णन्ते च प्रजा: सर्वा मृउत्युक्षुद्रोगपीडिता ॥४३,259,,,,,,
केत्वद्भुतावर्तः,देवलः,आग्नेयाद्या नवविधा अष्टोत्तरशतकेतवः। कृत्तिकादिषु त्रिषु नक्षत्रेषु स्थिता उदयन्ते इत्याह,आश्लेषापित्र्यभाग्यानि विन्ध्याद्दक्षिणपूर्वत:|  केतवो ह्यत्र दृश्यन्ते उद्दालकिसुता दश ॥४४,259,,,,,,
केत्वद्भुतावर्तः,देवलः,आग्नेयाद्या नवविधा अष्टोत्तरशतकेतवः। कृत्तिकादिषु त्रिषु नक्षत्रेषु स्थिता उदयन्ते इत्याह,कृेतवो ह्यत्र दृश्यन्ते शिखिनो मुनिसम्भवा: | सुभिक्षं क्षेममारोग्यं सुवृष्टि: शस्यसम्पद:॥४५,259,,,,,,
केत्वद्भुतावर्तः,देवलः,आग्नेयाद्या नवविधा अष्टोत्तरशतकेतवः। कृत्तिकादिषु त्रिषु नक्षत्रेषु स्थिता उदयन्ते इत्याह,आर्यम्णादीनि च त्रीणि विन्ध्याद्दक्षिणभागत: | कृेतवो ह्यत्र दृश्यन्ते काश्यपेयाश्चतुर्दश ॥४६,259,,,,,,
केत्वद्भुतावर्तः,देवलः,आग्नेयाद्या नवविधा अष्टोत्तरशतकेतवः। कृत्तिकादिषु त्रिषु नक्षत्रेषु स्थिता उदयन्ते इत्याह,अनावृष्टिभयं घोरं प्रजानामतिदारुणम् | स्वाति विशाखा मैत्रं च भगो दक्षिणपश्चिम:॥४७,259,,,,,,
केत्वद्भुतावर्तः,देवलः,आग्नेयाद्या नवविधा अष्टोत्तरशतकेतवः। कृत्तिकादिषु त्रिषु नक्षत्रेषु स्थिता उदयन्ते इत्याह,कृेतवो ह्यत्र दृश्यन्ते चत्वारो मृत्युसम्भवाः | भयं च विविधं  विन्ध्याद्गर्गस्य वचनं यथा ॥४८,259,,,,,,
केत्वद्भुतावर्तः,देवलः,आग्नेयाद्या नवविधा अष्टोत्तरशतकेतवः। कृत्तिकादिषु त्रिषु नक्षत्रेषु स्थिता उदयन्ते इत्याह,दुर्भिक्षं मरकं घोरमनावृष्टिश्च  दारुणा | उपद्रवश्च भूतानां तदा भवति दारुण:॥४९,260,,,,,,
